Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,RealClusters
Ludicolo,480,80,74.62513661165957,50.0274818155768,90,100,70,2
Seedot,220,40,55.25158783987512,32.34199485962504,30,30,30,0
Nuzleaf,340,70,54.34742893651459,33.65496962018202,60,40,60,0
Shiftry,480,90,69.45199882849924,35.95379993981323,90,60,80,1
Wingull,270,40,68.87683141182049,38.53913544635,55,30,85,1
Pelipper,430,60,75.65915003710433,48.33052518043103,85,70,65,2
Shroomish,295,60,68.14197731197818,38.00144342988044,40,60,35,1
Breloom,460,60,76.00503706858231,51.55152262878674,60,60,70,2
Roselia,400,50,68.31053839646721,38.41456578862113,100,80,65,1
Carvanha,305,45,54.2937974267599,32.50769036848994,65,20,65,0
Sharpedo,460,70,76.85494508208805,50.53844159752115,95,40,95,2
Wailmer,400,130,68.78815542277108,36.762643439115024,70,35,60,1
Wailord,500,170,66.0972138642306,38.260103597643415,90,45,60,1
Numel,305,60,68.76043820629573,36.257718174234256,65,45,35,1
Camerupt,460,70,68.80291621853247,37.82934932448439,105,75,40,1
CameruptMega Camerupt,560,70,70.70060070525635,38.593347128023375,145,105,20,1
Torkoal,470,70,53.46628743649737,33.076677628663624,85,70,20,0
Cacnea,335,50,54.07081349391306,33.939029439060675,85,40,35,0
Cacturne,475,70,53.06640173314044,32.75632774067198,115,60,55,0
Barboach,288,50,78.39360034186511,51.4730929468778,46,41,60,2
Crawdaunt,468,63,68.86820947897657,37.57120227401669,90,55,55,1
Feebas,200,20,77.04316974853953,50.64971103642877,10,55,80,2
Milotic,540,95,69.29451606038799,37.37891442571304,100,125,81,1
Tropius,460,99,53.52674600032496,35.745195201978504,72,87,51,0
Clamperl,345,35,52.89376567257436,33.636223958862224,74,55,32,0
Huntail,485,55,76.92134824905881,49.47490932186252,94,75,52,2
Gorebyss,485,55,75.71170768557369,49.82597255439041,114,75,52,2
Relicanth,485,100,69.09209754017289,37.183706210524974,45,65,55,1
Luvdisc,330,43,54.61479570466573,35.7908349319218,40,65,97,0
Kyogre,670,100,68.70488426163944,39.3349304081116,150,140,90,1
Turtwig,318,55,53.99810230521337,32.754840394129346,45,55,31,0
Grotle,405,75,75.13801549088573,50.4853144432124,55,65,36,2
Torterra,525,95,67.66437362975778,38.75740688294253,75,85,56,1
Chimchar,309,44,66.92528678897257,37.23437384729856,58,44,61,1
Infernape,534,76,70.5603178010766,38.823172069222245,104,71,108,1
Piplup,314,53,53.65278357293474,33.465129484107344,61,56,40,0
Prinplup,405,64,52.73608055011327,32.019285462110304,81,76,50,0
Empoleon,530,84,77.09379951794156,49.20370879962292,111,101,60,2
Budew,280,40,55.20380017655265,31.013454870887365,50,70,55,0
Roserade,515,60,54.90742793261224,32.01474541542085,125,105,90,0
Buizel,330,55,68.86527768350825,37.13283488606892,60,30,85,1
Floatzel,495,85,76.04386533046774,50.105835352917424,85,50,115,2
Cherubi,275,45,74.92513872077285,48.076695103785696,62,53,35,2
Cherrim,450,70,76.34159262978363,49.792527705013896,87,78,85,2
Shellos,325,76,54.80049245848716,33.2892243552001,57,62,34,0
Gastrodon,475,111,73.87749440584682,50.633302095559415,92,82,39,2
Carnivine,454,74,75.70731621349096,50.00893005115676,90,72,46,2
Finneon,330,49,75.84381983064486,49.39267010520498,49,61,66,2
Lumineon,460,69,54.87636522374189,33.43824585543355,69,86,91,0
Mantyke,345,45,52.71666672986456,31.077775867925475,60,120,50,0
Snover,334,60,76.02451989347361,48.61797667211979,62,60,40,2
Abomasnow,494,90,77.57222807412936,48.25009730425952,92,85,60,2
AbomasnowMega Abomasnow,594,90,53.590120537823765,33.052134418386245,132,105,30,0
Tangrowth,535,100,54.011795473545554,32.61007795172124,110,50,50,0
Magmortar,540,75,76.29216266158605,48.83906476556607,125,95,83,2
Leafeon,525,65,69.15911094170976,39.01228188280802,60,65,95,1
Palkia,680,90,53.42660718935552,34.35217017668284,150,120,100,0
Heatran,600,91,69.78622716136874,38.00644524489256,130,106,77,1
Manaphy,600,100,67.14599586390536,39.5520173197252,100,100,100,1
ShayminLand Forme,600,100,75.10419718520045,48.95961898243382,100,100,100,2
ShayminSky Forme,600,100,67.47986406677664,37.74018604096309,120,75,127,1
Snivy,308,45,70.49235930936892,37.64549525459425,45,55,63,1
Servine,413,60,76.90073280559479,50.89649548662038,60,75,83,2
Tepig,308,65,77.98637963781343,50.48724354462448,45,45,45,2
Pignite,418,90,52.915182368028006,34.33353115439926,70,55,55,0
Emboar,528,110,68.3487639391644,37.69854652496753,100,65,65,1
Oshawott,308,55,76.27147641141623,50.82914358644937,63,45,45,2
Samurott,528,95,53.4431631555827,34.7259418714772,108,70,70,0
Pansage,316,50,76.19626226419759,51.63078651264978,53,48,64,2
Simisage,498,75,69.72010480432276,38.79444174121549,98,63,101,1
Pansear,316,50,75.31925274523616,48.55623855031653,53,48,64,2
Simisear,498,75,76.75252443627963,50.11194736990134,98,63,101,2
Panpour,316,50,75.6111098975317,49.67361488238748,53,48,64,2
Simipour,498,75,74.22281507443691,50.168646622136855,98,63,101,2
Tympole,294,50,52.40033817365877,33.07839939146706,50,40,64,0
Palpitoad,384,75,53.29122985352286,34.44304331033377,65,55,69,0
Seismitoad,509,105,68.81271417395816,37.49835983831146,85,75,74,1
Cottonee,280,40,68.87916810935779,37.2011828928962,37,50,66,1
Whimsicott,480,60,70.13435950014126,40.426502730623056,77,75,116,1
Petilil,280,45,54.29772784733488,34.70957275888881,70,50,30,0
Lilligant,480,70,69.01170971757503,40.07708892344459,110,75,90,1
Basculin,460,70,52.67602050715563,33.089135581979484,80,55,98,0
Darumaka,315,70,54.402210991185655,31.571308491407382,15,45,50,0
DarmanitanZen Mode,540,105,75.57522828927354,49.38957391218269,140,105,55,2
Maractus,461,75,69.2384698379722,37.63819890702546,106,67,60,1
Carracosta,495,74,67.01476625671687,39.22607798295247,83,65,32,1
Ducklett,305,62,69.24020533275797,39.086910026341535,44,50,55,1
Swanna,473,75,68.60838775226543,39.357750738475744,87,63,98,1
Foongus,294,69,67.0723078300936,39.14260467908284,55,55,15,1
Amoonguss,464,114,55.02649486481605,33.477604309613504,85,80,30,0
Frillish,335,55,78.02021364107914,50.56833123377111,65,85,40,2
Jellicent,480,100,67.7016646806563,38.32144937523426,85,105,60,1
Ferroseed,305,44,52.25217620535307,32.86085337014809,24,86,10,0
Ferrothorn,489,74,68.55987307495143,38.55190056472648,54,116,20,1
Heatmor,484,85,74.23820596289028,50.48112264194082,105,66,65,2
Virizion,580,91,69.39269523272048,38.01167365933023,90,129,108,1
KeldeoOrdinary Forme,580,91,68.82394864376114,38.36685924914335,129,90,108,1
KeldeoResolute Forme,580,91,53.63046959999234,31.92323294950804,129,90,108,0
Chespin,313,56,68.68824864577104,37.573666046185686,48,45,38,1
Chesnaught,530,88,77.08313813069137,49.18931510136178,74,75,64,2
Fennekin,307,40,53.549839024141015,33.41348516398416,62,60,60,0
Braixen,409,59,76.33452008962404,48.71250945303595,90,70,73,2
Delphox,534,75,68.0628261885596,39.16100372136746,114,100,104,1
Froakie,314,41,69.70668751841723,37.334832556372106,62,44,71,1
Frogadier,405,54,76.25219334271733,49.51608459786723,83,56,97,2
Greninja,530,72,76.21466778995716,50.10963672602394,103,71,122,2
Fletchinder,382,62,76.81945454173298,51.51476374656292,56,52,84,2
Talonflame,499,78,68.50607701619106,37.82314138133007,74,69,126,1
Litleo,369,62,54.58822675361977,33.56544245859034,73,54,72,0
Pyroar,507,86,78.10589502212152,49.04332568416299,109,66,106,2
Skiddo,350,66,75.9321901076024,50.49839173466384,62,57,52,2
Gogoat,531,123,76.9195198618033,50.36151103147625,97,81,68,2
Clauncher,330,50,76.03805456477532,49.51518354391394,58,63,44,2
Clawitzer,500,71,66.85444928268171,40.21746688092448,120,89,59,1
Volcanion,600,80,54.522346832310255,33.50473441959043,130,90,70,0
