age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60,United-States,1
31,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,36,Jamaica,0
24,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,20,United-States,0
37,Private,1st-4th,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,48,El-Salvador,0
44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,0
19,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,25,United-States,0
25,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,0.0,0.0,40,United-States,0
22,Private,Some-college,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,0
45,Self-emp-not-inc,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1485.0,40,United-States,1
24,?,HS-grad,Separated,?,Not-in-family,Black,Male,0.0,0.0,50,Germany,0
26,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55,United-States,0
42,,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,85,United-States,0
45,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0.0,,40,United-States,0
45,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,15024.0,0.0,40,United-States,1
46,Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45,United-States,0
32,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Other,Female,0.0,0.0,40,United-States,0
31,Local-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40,United-States,0
57,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45,United-States,0
20,,10th,Never-married,?,Not-in-family,White,Female,0.0,0.0,30,United-States,0
52,Self-emp-not-inc,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,5,United-States,0
22,Private,9th,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,30,United-States,0
43,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,0
36,State-gov,Masters,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,40,United-States,0
37,State-gov,Some-college,Separated,Adm-clerical,Not-in-family,White,Male,,0.0,40,United-States,0
44,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,1617.0,20,United-States,0
52,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35,United-States,0
44,Federal-gov,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40,United-States,0
34,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,2829.0,0.0,50,?,0
28,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,Other,Male,0.0,0.0,40,United-States,0
44,Federal-gov,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Female,2354.0,0.0,40,United-States,0
36,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40,United-States,0
49,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,38,United-States,0
38,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,Cuba,1
31,Private,Assoc-voc,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40,United-States,0
55,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,1
26,,Some-college,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,38,United-States,0
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,50,United-States,1
47,Local-gov,Bachelors,Separated,Prof-specialty,Not-in-family,White,Female,0.0,0.0,70,United-States,0
30,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,37,United-States,0
63,Self-emp-not-inc,7th-8th,Widowed,Farming-fishing,Unmarried,White,Female,0.0,0.0,10,United-States,0
29,Private,Assoc-voc,Never-married,Priv-house-serv,Own-child,White,Female,0.0,0.0,40,United-States,0
63,?,,Married-civ-spouse,?,Wife,Black,Female,0.0,0.0,45,United-States,0
29,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,45,United-States,1
42,Private,Preschool,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,25,United-States,0
58,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
57,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1887.0,40,United-States,1
64,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2635.0,0.0,10,United-States,0
30,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
53,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,0
40,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,0
23,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,60,United-States,0
18,Private,11th,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,30,United-States,0
51,Private,Assoc-acdm,Separated,Other-service,Not-in-family,Black,Female,0.0,0.0,40,United-States,0
34,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,84,United-States,1
31,Federal-gov,,Married-civ-spouse,Tech-support,Husband,White,Male,,0.0,40,United-States,0
28,?,HS-grad,Never-married,?,Not-in-family,Black,Female,0.0,0.0,40,United-States,0
90,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,10,United-States,0
36,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,30,United-States,1
28,Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,0
36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,1
46,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,50,Canada,0
19,Self-emp-not-inc,,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,30,United-States,0
35,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,1
59,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,England,1
43,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,42,United-States,0
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1887.0,40,United-States,1
17,Private,10th,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40,United-States,0
81,?,Prof-school,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,24,United-States,1
55,Private,10th,Married-civ-spouse,Other-service,Wife,Black,Female,0.0,0.0,40,United-States,0
27,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,15,United-States,0
24,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,0
22,?,HS-grad,Never-married,?,Own-child,Black,Male,0.0,1602.0,30,United-States,0
63,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,1
21,Private,Assoc-acdm,Never-married,Sales,Own-child,White,Female,0.0,0.0,32,United-States,0
30,,Bachelors,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0.0,40,Philippines,0
32,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,45,United-States,0
47,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40,United-States,0
32,Private,,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,0
25,,HS-grad,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40,United-States,0
19,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,35,United-States,0
44,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,0
28,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,0
28,Local-gov,HS-grad,Separated,Adm-clerical,Not-in-family,White,Female,,0.0,40,United-States,0
24,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40,United-States,0
35,Self-emp-not-inc,HS-grad,Never-married,Other-service,Other-relative,White,Female,0.0,0.0,30,United-States,0
23,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,50,United-States,0
32,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,40,United-States,1
46,,Some-college,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,10,?,0
45,,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,38,United-States,1
35,Private,12th,Never-married,Sales,Not-in-family,Black,Female,0.0,0.0,40,United-States,0
50,Local-gov,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,40,United-States,0
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
53,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,85,United-States,0
33,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40,United-States,0
32,Private,5th-6th,Married-civ-spouse,Other-service,Other-relative,White,Male,0.0,0.0,40,United-States,0
47,Self-emp-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,3325.0,0.0,60,United-States,0
48,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,0
45,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60,United-States,1
53,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50,Germany,1
47,Self-emp-not-inc,Bachelors,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,60,Thailand,0
27,Self-emp-not-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50,United-States,0
31,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Other,Male,0.0,0.0,40,United-States,0
63,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,45,United-States,0
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,45,?,0
56,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,0
30,Local-gov,Assoc-voc,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0.0,0.0,40,United-States,0
20,?,11th,Never-married,?,Own-child,Black,Male,0.0,0.0,40,United-States,0
47,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,1
32,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,40,United-States,0
41,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2179.0,40,United-States,0
30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,0
68,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,24,United-States,0
57,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,60,United-States,0
23,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,35,United-States,0
53,Private,11th,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40,United-States,0
56,Federal-gov,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,0
46,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40,United-States,0
18,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,0
31,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,14344.0,0.0,50,United-States,1
36,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40,United-States,0
28,,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,0
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65,United-States,1
38,,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,60,United-States,0
52,Private,Assoc-voc,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50,United-States,0
55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,55,United-States,1
37,,Some-college,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,40,United-States,0
23,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40,Poland,0
52,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,0
20,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,30,United-States,0
41,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,50,United-States,0
32,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5178.0,0.0,40,United-States,1
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,,0.0,35,United-States,0
65,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,5556.0,0.0,50,United-States,1
48,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,1
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
37,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,0
59,Private,12th,Divorced,Transport-moving,Other-relative,Black,Male,0.0,0.0,35,United-States,0
90,?,7th-8th,Separated,?,Not-in-family,White,Female,0.0,0.0,15,United-States,0
62,Private,Some-college,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,16,United-States,0
68,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,Italy,1
32,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,24,United-States,0
29,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,35,United-States,0
26,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,0
20,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,24,United-States,0
24,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,0
25,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,40,Mexico,0
19,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40,United-States,0
32,Private,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50,United-States,0
71,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,28,United-States,0
43,Private,HS-grad,Separated,Other-service,Not-in-family,Black,Female,0.0,0.0,40,United-States,0
40,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,1
61,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,9386.0,0.0,40,United-States,1
39,?,Some-college,Divorced,?,Not-in-family,White,Female,0.0,0.0,35,United-States,0
33,Private,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50,United-States,0
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,50,United-States,1
53,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
31,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,60,United-States,1
43,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,0.0,0.0,50,United-States,1
46,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,40,United-States,1
34,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,20,United-States,0
26,,HS-grad,Separated,?,Unmarried,White,Female,0.0,0.0,40,United-States,0
38,Private,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,El-Salvador,0
64,Local-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,1
36,,Prof-school,Never-married,Exec-managerial,Not-in-family,White,Male,27828.0,0.0,50,United-States,1
28,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,0
53,,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,0
19,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,25,United-States,0
55,,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,United-States,0
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,1
21,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,38,Jamaica,0
32,State-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,20,United-States,0
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,1
59,Self-emp-not-inc,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,2580.0,0.0,15,El-Salvador,0
27,Private,11th,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,35,India,0
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35,United-States,0
59,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50,United-States,0
44,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,80,United-States,1
38,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,0
38,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,50,United-States,0
35,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,Canada,0
42,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,0
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20,United-States,0
44,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,10520.0,0.0,40,United-States,1
46,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70,United-States,1
44,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,36,United-States,1
29,Local-gov,HS-grad,Never-married,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,0.0,1590.0,45,United-States,0
25,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40,Poland,0
62,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,38,United-States,1
37,Local-gov,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,0.0,0.0,27,United-States,0
53,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1887.0,45,United-States,1
24,State-gov,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,35,United-States,0
27,Local-gov,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,40,United-States,0
30,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,0
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4064.0,0.0,40,United-States,0
49,Local-gov,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,United-States,0
50,?,Some-college,Divorced,?,Unmarried,White,Male,0.0,0.0,40,United-States,0
50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
41,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0.0,0.0,40,Philippines,1
17,Private,7th-8th,Never-married,Sales,Own-child,White,Male,0.0,0.0,8,United-States,0
18,Private,12th,Never-married,Other-service,Own-child,White,Male,0.0,0.0,27,United-States,0
52,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,35,United-States,1
36,Private,11th,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,0
41,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,0
21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,0.0,0.0,36,United-States,0
23,Local-gov,Some-college,Separated,Exec-managerial,Unmarried,Black,Male,0.0,0.0,40,United-States,0
33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50,United-States,0
30,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,25,United-States,0
53,Private,12th,Married-spouse-absent,Handlers-cleaners,Not-in-family,Other,Male,0.0,0.0,56,Dominican-Republic,0
57,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0.0,,40,United-States,0
42,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,,0.0,50,United-States,1
70,Private,7th-8th,Widowed,Other-service,Unmarried,Black,Female,0.0,0.0,38,United-States,0
44,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,0
33,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,0
21,Private,7th-8th,Never-married,Farming-fishing,Own-child,White,Female,0.0,0.0,38,United-States,0
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,50,United-States,1
31,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,0.0,0.0,40,United-States,0
55,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,0
33,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,1902.0,40,United-States,1
64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2635.0,0.0,40,United-States,0
28,Private,Assoc-voc,Never-married,Other-service,Other-relative,Black,Male,,0.0,40,United-States,0
43,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,35,United-States,0
51,Private,7th-8th,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,48,United-States,0
31,Local-gov,Bachelors,Never-married,Protective-serv,Own-child,Black,Male,0.0,0.0,48,United-States,0
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,3103.0,0.0,45,United-States,1
